Time,PosX,PosY,PosZ
1567044294.246,-18021.255902484758,-7096.005512273863,18116.32009605811
1567044294.496,-18021.514491227972,-7096.527092039745,18115.87135317904
1567044294.746,-18021.773080910232,-7097.048655258361,18115.422586102202
1567044294.996,-18022.03167153074,-7097.570201929095,18114.973794828224
1567044295.246,-18022.290263088635,-7098.091732051391,18114.52497935773
1567044295.496,-18022.548855583103,-7098.613245624751,18114.076139691344
1567044295.746,-18022.807449013264,-7099.134742648617,18113.627275829684
1567044295.996,-18023.0660433783,-7099.656223122474,18113.178387773383
1567044296.246,-18023.32463867739,-7100.1776870456815,18112.729475523072
1567044296.496,-18023.58323490967,-7100.69913441778,18112.280539079336
1567044296.746,-18023.841832074286,-7101.220565238204,18111.831578442834
1567044296.996,-18024.100430170434,-7101.7419795063215,18111.382593614184
1567044297.246,-18024.359029197272,-7102.26337722168,18110.933584594
1567044297.496,-18024.617629153952,-7102.784758383754,18110.484551382913
1567044297.746,-18024.876230039616,-7103.306122991875,18110.03549398154
1567044297.996,-18025.13483185345,-7103.827471045632,18109.586412390512
1567044298.246,-18025.39343459458,-7104.348802544395,18109.13730661045
1567044298.496,-18025.652038262222,-7104.870117487593,18108.688176641965
1567044298.746,-18025.91064285549,-7105.391415874787,18108.2390224857
1567044298.996,-18026.16924837357,-7105.912697705309,18107.78984414227
1567044299.246,-18026.4278548156,-7106.433962978648,18107.340641612303
1567044299.496,-18026.686462180765,-7106.955211694316,18106.891414896418
1567044299.746,-18026.94507046823,-7107.476443851716,18106.442163995234
1567044299.996,-18027.203679677114,-7107.997659450295,18105.992888909386
1567044300.246,-18027.462289806597,-7108.518858489533,18105.54358963947
1567044300.496,-18027.720900855857,-7109.040040968874,18105.09426618615
1567044300.746,-18027.97951282406,-7109.561206887745,18104.64491855003
1567044300.996,-18028.23812571032,-7110.082356245646,18104.19554673174
1567044301.246,-18028.496739513837,-7110.6034890419905,18103.746150731888
1567044301.496,-18028.755354233755,-7111.124605276251,18103.296730551116
1567044301.746,-18029.01396986924,-7111.645704947849,18102.847286190037
1567044301.996,-18029.27258641945,-7112.166788056304,18102.397817649282
1567044302.246,-18029.531203883565,-7112.687854601012,18101.948324929468
1567044302.496,-18029.78982226071,-7113.20890458145,18101.49880803123
1567044302.746,-18030.048441550076,-7113.729937997043,18101.049266955175
1567044302.996,-18030.307061750773,-7114.250954847281,18100.59970170194
1567044303.246,-18030.565682862027,-7114.771955131619,18100.15011227215
1567044303.496,-18030.824304882954,-7115.292938849492,18099.70049866642
1567044303.746,-18031.08292781275,-7115.813906000312,18099.250860885393
1567044303.996,-18031.34155165055,-7116.334856583577,18098.80119892967
1567044304.246,-18031.600176395496,-7116.855790598813,18098.351512799883
1567044304.496,-18031.8588020468,-7117.3767080453035,18097.901802496654
1567044304.746,-18032.11742860356,-7117.897608922693,18097.45206802061
1567044304.996,-18032.376056064975,-7118.418493230311,18097.002309372394
1567044305.246,-18032.634684430224,-7118.939360967612,18096.55252655261
1567044305.496,-18032.893313698412,-7119.460212134069,18096.102719561874
1567044305.746,-18033.151943868746,-7119.98104672919,18095.65288840083
1567044305.996,-18033.410574940368,-7120.5018647523975,18095.203033070087
1567044306.246,-18033.66920691242,-7121.022666203091,18094.753153570287
1567044306.496,-18033.927839784094,-7121.543451080783,18094.30324990204
1567044306.746,-18034.18647355452,-7122.064219384898,18093.853322065974
1567044306.996,-18034.44510822289,-7122.584971114942,18093.403370062722
1567044307.246,-18034.703743788334,-7123.105706270308,18092.95339389288
1567044307.496,-18034.962380250035,-7123.626424850496,18092.503393557115
