Time,PosX,PosY,PosZ
1567044285.496,19454.02888379281,8733.307566466807,15881.961088264867
1567044285.746,19454.25763642207,8733.766525112365,15881.442285726309
1567044285.996,19454.486386469227,8734.22546674583,15880.9234621372
1567044286.246,19454.715133933325,8734.68439136679,15880.404617498289
1567044286.496,19454.943878813614,8735.143298974963,15879.885751810329
1567044286.746,19455.17262110926,8735.602189569989,15879.366865073947
1567044286.996,19455.40136081948,8736.061063151457,15878.847957289901
1567044287.246,19455.630097943347,8736.519919719081,15878.329028458884
1567044287.496,19455.85883248016,8736.978759272497,15877.81007858161
1567044287.746,19456.087564428984,8737.4375818113,15877.291107658772
1567044287.996,19456.31629378911,8737.896387335233,15876.772115691077
1567044288.246,19456.545020559584,8738.355175843859,15876.253102679286
1567044288.496,19456.773744739694,8738.813947336861,15875.734068623995
1567044288.746,19457.002466328573,8739.272701813941,15875.215013526007
1567044288.996,19457.231185325392,8739.73143927467,15874.69593738601
1567044289.246,19457.459901729326,8740.19015971871,15874.176840204736
1567044289.496,19457.688615539562,8740.648863145754,15873.657721982749
1567044289.746,19457.917326755254,8741.107549555407,15873.138582720956
1567044289.996,19458.146035375597,8741.566218947359,15872.619422419937
1567044290.246,19458.374741399755,8742.024871321224,15872.100241080445
1567044290.496,19458.603444826975,8742.483506676643,15871.581038703174
1567044290.746,19458.832145656357,8742.942125013382,15871.061815288827
1567044290.996,19459.06084388708,8743.400726330921,15870.542570838137
1567044291.246,19459.289539518286,8743.859310628985,15870.023305351791
1567044291.496,19459.51823254922,8744.317877907248,15869.504018830512
1567044291.746,19459.74692297908,8744.77642816535,15868.984711274974
1567044291.996,19459.975610806978,8745.234961402908,15868.465382685908
1567044292.246,19460.204296032087,8745.693477619614,15867.946033064052
1567044292.496,19460.432978653578,8746.151976815054,15867.426662410098
1567044292.746,19460.661658670728,8746.610458988973,15866.907270724652
1567044292.996,19460.890336082608,8747.068924140953,15866.387858008542
1567044293.246,19461.1190108884,8747.527372270659,15865.868424262491
1567044293.496,19461.347683087333,8747.985803377724,15865.348969487111
1567044293.746,19461.57635267858,8748.444217461896,15864.829493683123
1567044293.996,19461.80501966124,8748.902614522704,15864.30999685134
1567044294.246,19462.033684034584,8749.360994559844,15863.790478992361
1567044294.496,19462.262345797746,8749.819357572957,15863.270940106968
1567044294.746,19462.491004949854,8750.277703561718,15862.7513801958
1567044294.996,19462.719661490177,8750.73603252575,15862.231799259587
1567044295.246,19462.948315417812,8751.194344464719,15861.712197299059
1567044295.496,19463.176966732015,8751.65263937828,15861.192574314902
1567044295.746,19463.40561543185,8752.110917266098,15860.672930307874
1567044295.996,19463.63426151663,8752.569178127786,15860.153265278568
1567044296.246,19463.862904985384,8753.027421962983,15859.633579227848
1567044296.496,19464.091545837422,8753.485648771413,15859.11387215627
1567044296.746,19464.320184071883,8753.943858552724,15858.594144064642
1567044296.996,19464.548819687865,8754.402051306446,15858.07439495366
1567044297.246,19464.77745268459,8754.860227032339,15857.554624823977
1567044297.496,19465.006083061286,8755.318385730028,15857.034833676362
1567044297.746,19465.234710817036,8755.77652739915,15856.515021511525
1567044297.996,19465.46333595112,8756.23465203942,15855.995188330087
1567044298.246,19465.69195846264,8756.692759650436,15855.475334132869
1567044298.496,19465.920578350804,8757.150850231803,15854.955458920545
1567044298.746,19466.149195614755,8757.608923783257,15854.435562693765
1567044298.996,19466.37781025371,8758.0669803044,15853.915645453317
1567044299.246,19466.60642226677,8758.525019794884,15853.395707199817
1567044299.496,19466.835031653212,8758.983042254375,15852.875747934078
1567044299.746,19467.063638412168,8759.441047682558,15852.355767656727
1567044299.996,19467.29224254279,8759.899036079034,15851.835766368571
1567044300.246,19467.52084404428,8760.357007443457,15851.315744070162
1567044300.496,19467.749442915818,8760.814961775555,15850.79570076233
1567044300.746,19467.978039156566,8761.272899074844,15850.275636445798
1567044300.996,19468.20663276569,8761.730819341094,15849.75555112121
1567044301.246,19468.435223742374,8762.188722573912,15849.235444789258
1567044301.496,19468.66381208584,8762.646608772979,15848.715317450702
1567044301.746,19468.892397795178,8763.104477937872,15848.19516910625
1567044301.996,19469.120980869622,8763.562330068311,15847.67499975655
1567044302.246,19469.34956130832,8764.0201651639,15847.154809402446
1567044302.496,19469.578139110483,8764.477983224377,15846.634598044475
1567044302.746,19469.80671427527,8764.93578424929,15846.114365683474
1567044302.996,19470.035286801856,8765.393568238342,15845.59411232009
1567044303.246,19470.263856689377,8765.851335191197,15845.073837955055
1567044303.496,19470.492423937096,8766.30908510754,15844.553542589036
1567044303.746,19470.720988544064,8766.766817986892,15844.033226222798
1567044303.996,19470.949550509577,8767.224533829045,15843.512888857033
1567044304.246,19471.178109832756,8767.682232633582,15842.992530492438
1567044304.496,19471.406666512754,8768.13991440014,15842.472151129774
1567044304.746,19471.63522054881,8768.59757912845,15841.951750769622
1567044304.996,19471.86377194008,8769.055226818084,15841.431329412871
1567044305.246,19472.092320685693,8769.512857468733,15840.910887060087
1567044305.496,19472.320866784867,8769.970471080022,15840.390423712024
1567044305.746,19472.54941023675,8770.428067651672,15839.86993936939
1567044305.996,19472.77795104053,8770.885647183255,15839.349434032885
1567044306.246,19473.00648919538,8771.343209674487,15838.828907703237
1567044306.496,19473.23502470052,8771.800755124961,15838.30836038117
1567044306.746,19473.46355755509,8772.258283534367,15837.78779206731
1567044306.996,19473.69208775823,8772.715794902371,15837.267202762487
1567044307.246,19473.92061530916,8773.173289228602,15836.746592467307
1567044307.496,19474.149140207086,8773.630766512731,15836.225961182601
1567044307.746,19474.377662451105,8774.088226754408,15835.705308908902
1567044307.996,19474.60618204038,8774.545669953208,15835.184635647085
1567044308.246,19474.83469897419,8775.003096108918,15834.66394139776
1567044308.496,19475.063213251648,8775.4605052211,15834.143226161683
1567044308.746,19475.291724871953,8775.917897289462,15833.62248993955
1567044308.996,19475.5202338342,8776.375272313577,15833.101732732122
1567044309.246,19475.748740137697,8776.832630293226,15832.580954539975
1567044309.496,19475.977243781526,8777.28997122794,15832.06015536391
1567044309.746,19476.2057447649,8777.747295117431,15831.5393352046
1567044309.996,19476.43424308698,8778.20460196134,15831.01849406288
1567044310.246,19476.662738746898,8778.66189175933,15830.497631939283
1567044310.496,19476.89123174393,8779.119164511045,15829.97674883461
1567044310.746,19477.11972207715,8779.576420216115,15829.455844749564
1567044310.996,19477.34820974584,8780.033658874258,15828.934919684825
1567044311.246,19477.576694749085,8780.490880485118,15828.413973641114
1567044311.496,19477.80517708605,8780.948085048221,15827.893006619222
1567044311.746,19478.033656755993,8781.405272563417,15827.372018619739
1567044311.996,19478.26213375805,8781.862443030237,15826.851009643397
1567044312.246,19478.490608091364,8782.319596448368,15826.329979690954
1567044312.496,19478.7190797552,8782.776732817445,15825.808928763121
1567044312.746,19478.947548748598,8783.233852137128,15825.287856860585
1567044312.996,19479.17601507083,8783.690954407066,15824.766763984038
1567044313.246,19479.404478721095,8784.148039627016,15824.245650134171
1567044313.496,19479.632939698437,8784.60510779648,15823.724515311795
1567044313.746,19479.861398002195,8785.062158915167,15823.20335951753
1567044313.996,19480.089853631405,8785.519192982756,15822.682182752087
1567044314.246,19480.318306585337,8785.976209998858,15822.160985016233
1567044314.496,19480.54675686314,8786.433209963194,15821.639766310629
1567044314.746,19480.775204463964,8786.890192875377,15821.118526636023
1567044314.996,19481.00364938698,8787.347158735029,15820.597265993056
1567044315.246,19481.232091631413,8787.804107541902,15820.075984382522
1567044315.496,19481.460531196382,8788.261039295503,15819.554681805128
1567044315.746,19481.68896808114,8788.717953995645,15819.033358261522
1567044315.996,19481.917402284736,8789.174851641852,15818.512013752403
1567044316.246,19482.14583380647,8789.63173223388,15817.990648278575
1567044316.496,19482.374262645477,8790.088595771329,15817.469261840643
1567044316.746,19482.60268880092,8790.545442253868,15816.947854439404
1567044316.996,19482.83111227194,8791.002271681155,15816.426426075568
1567044317.246,19483.05953305776,8791.459084052833,15815.904976749767
1567044317.496,19483.287951157574,8791.91587936859,15815.383506462738
1567044317.746,19483.516366570475,8792.372657628017,15814.862015215238
1567044317.996,19483.74477929574,8792.829418830821,15814.340503007963
1567044318.246,19483.973189332468,8793.286162976648,15813.818969841564
1567044318.496,19484.201596679883,8793.742890065158,15813.2974157168
1567044318.746,19484.430001337132,8794.199600095984,15812.775840634395
1567044318.996,19484.658403303376,8794.656293068809,15812.254244595013
1567044319.246,19484.886802577817,8795.112968983252,15811.732627599415
